species	Size	Trophy	t0-0-a	t0-0-b	t0-0-c	tfin-2-a	tfin-9-a	tfin-9-b	tfin-9-c	tfin-2-b	tfin-2-c	tfin-6-a	tfin-6-b	tfin-6-c
timepoint	timepoint	timepoint	t0	t0	t0	tfin	tfin	tfin	tfin	tfin	tfin	tfin	tfin	tfin
MAST-3I_XX_sp.	uncategorized	hetero	7	5	0	30	0	20	3	63	62	33	22	15
MAST-3L_XX_sp.	uncategorized	hetero	2	0	0	0	0	0	0	0	0	7	16	12
MAST-7A_XX_sp.	uncategorized	hetero	10	11	15	34	0	6	0	21	23	33	37	23
MAST-8A_XX_sp.	uncategorized	hetero	18	9	17	4	0	0	0	6	4	132	76	78
MAST-8D_XX_sp.	uncategorized	hetero	0	0	0	82	0	12	0	130	146	188	192	140
Mataza-lineage_X_sp.	uncategorized	hetero	206	139	173	54	28	16	20	100	69	50	45	20
Micromonas_commoda_A2	pico	photo	5	4	0	0	0	0	0	0	0	20	45	11
Micromonas_polaris	pico	photo	22	13	19	0	0	0	0	3	4	81	203	69
MOCH-2_XXX_sp.	uncategorized	uncategorized	95	75	107	97	0	28	0	89	86	109	153	115
Navicula_sp.	uncategorized	photo	87	65	113	28	110	113	33	23	16	87	148	151
Naviculaceae_X_sp.	uncategorized	photo	37	36	65	0	0	5	0	0	4	5	7	28
Nitzschia_sp.	uncategorized	photo	9	6	15	0	0	0	0	0	2	6	1	3
Novel-clade-2_X_sp.	uncategorized	uncategorized	15	10	10	7	0	0	0	20	18	0	2	0
Parmales_env_3B_sp.	uncategorized	mixo	0	1	0	0	0	0	0	0	0	20	16	5
Pedinellales_X_sp.	uncategorized	mixo	105	51	100	746	0	0	0	635	628	1086	1263	531
Pentapharsodinium_sp.	uncategorized	uncategorized	48	70	63	0	78	41	0	0	0	0	0	0
Pentapharsodinium_tyrrhenicum	micro	parasitic	0	0	1	14	0	2	2	17	4	6	10	16
Phaeocystis_pouchetii	pico	photo	6097	5195	5035	2270	342	1378	248	2832	2805	4808	6536	4487
Phaeocystis_sp.	pico	photo	14	9	9	35	0	2	0	10	16	70	74	44
Picozoa_XXXX_sp.	pico	hetero	143	114	171	1875	12	97	6	2335	2594	3573	4022	2315
Plagioselmis_prolonga	nano	photo	12	9	10	0	0	0	0	0	17	6	17	8
Pleurostomatida_X_sp.	uncategorized	hetero	0	0	0	13	0	0	0	22	7	1	2	0
Polarella_glacialis	nano	photo	34	30	32	0	0	0	0	0	0	3	0	0
Porosira_glacialis	mico	nano	8	51	57	0	1	24	18	5	15	42	54	21
Prorocentrum_cordatum	nano	const_mixo	89	72	87	36	144	97	116	39	0	57	37	27
Prorocentrum_sp.	uncategorized	uncategorized	12	20	28	77	0	20	0	72	90	81	102	65
Protaspa-lineage_X_sp.	uncategorized	hetero	223	175	196	555	166	172	172	1217	1063	251	449	70
Prymnesiophyceae_Clade_E_XX_sp.	uncategorized	uncategorized	3	4	0	11	0	0	0	11	10	2	0	2
Pseudo-nitzschia_delicatissima	micro	photo	8	6	6	1	12	12	9	7	1	0	0	1
Pseudo-nitzschia_multiseries	micro	photo	9	23	7	12	0	11	18	12	0	2	3	0
Pseudo-nitzschia_seriata	micro	photo	15	0	23	0	22	56	0	0	0	0	9	19
Pseudo-nitzschia_sp.	micro	photo	296	238	259	352	1347	2449	1556	450	290	913	981	513
Pterosperma_cristatum	nano	photo	0	0	0	27	0	0	0	21	15	11	26	8
