	sample_ID	sample_ID.1	uni_ID	timepoint	temperature	replicate	Chla	POC	C.N	Silicate	Richness	Evenness
1	PS126-Prok-E1-E1_S68	tfin-2-a	tfin-2C	tfin	2C	a	1.883443849	0.074033744	4.944806456	31.47	185	0.431275329
2	PS126-Prok-E1-E13_S23	tfin-9-a	tfin-9C	tfin	9C	a	16.14068904	0.119503744	6.494560196	28.345	181	0.561688848
3	PS126-Prok-E1-E14_S34	tfin-9-b	tfin-9C	tfin	9C	b	15.36994447	0.381350411	6.531560112	28.45	197	0.550855022
4	PS126-Prok-E1-E15_S46	tfin-9-c	tfin-9C	tfin	9C	c	58.4765869	0.668923744	6.176205458	21.34	160	0.495907533
5	PS126-Prok-E1-E2_S80	tfin-2-b	tfin-2C	tfin	2C	b	1.346675313	0.066547078	5.716089808	32.695	184	0.502801915
6	PS126-Prok-E1-E3_S92	tfin-2-c	tfin-2C	tfin	2C	c	2.557845343	0.082187078	6.371224936	31.99	171	0.424280739
7	PS126-Prok-E1-E7_S45	tfin-6-a	tfin-6C	tfin	6C	a	2.022606062	0.122637078	6.19208388	32.435	201	0.554418443
8	PS126-Prok-E1-E8_S57	tfin-6-b	tfin-6C	tfin	6C	b	3.125198981	0.262823744	6.046349573	31.905	203	0.564937512
9	PS126-Prok-E1-E9_S69	tfin-6-c	tfin-6C	tfin	6C	c	2.507379925	0.112407078	5.261350422	31.915	199	0.539966221
