sample_ID timepoint temperature uni_ID replicate C.N D2 Chla.POC RichnessE EvennessE RichnessP EvennessP
1 tfin-2-a tfin 2°C tfin-2 a 4.944806456 8901 0.0254403430036671 210 0.589291083714092 185 0.431275329
2 tfin-9-a tfin 9°C tfin-9 a 6.494560196 6191 0.135064295501797 124 0.619942683799036 181 0.561688848
3 tfin-9-b tfin 9°C tfin-9 b 6.531560112 6466 0.0403039934645673 145 0.64536800218458 197 0.550855022
4 tfin-9-c tfin 9°C tfin-9 c 6.176205458 5444 0.0874189134331504 104 0.566605620059294 160 0.495907533
5 tfin-2-b tfin 2°C tfin-2 b 5.716089808 8565 0.0202364305223749 214 0.579212401427643 184 0.502801915
6 tfin-2-c tfin 2°C tfin-2 c 6.371224936 8985 0.031122232548774 209 0.590905215187672 171 0.424280739
7 tfin-6-a tfin 6°C tfin-6 a 6.19208388 6242 0.0164926146406136 221 0.643564071105969 201 0.554418443
8 tfin-6-b tfin 6°C tfin-6 b 6.046349573 7580 0.0118908547972704 217 0.636036850290674 203 0.564937512
9 tfin-6-c tfin 6°C tfin-6 c 5.261350422 NA 0.0223062459916306 217 0.614256123414234 199 0.539966221
